wl,1,2,3,4,5,6,7
1,0.4487,0.2731,0.7372,-99,-99,-99,-99
2,0.901,0.5484,1.4802,-99,-99,-99,-99
3,0.9262,0.5841,1.4687,-99,-99,-99,-99
4,0.937,0.6112,1.4364,-99,-99,-99,-99
5,0.9322,0.6283,1.3832,-99,-99,-99,-99
6,0.9111,0.6338,1.3098,-99,-99,-99,-99
7,0.8821,0.6328,1.2296,-99,-99,-99,-99
8,0.8752,0.6469,1.1841,-99,-99,-99,-99
9,0.922,0.7015,1.2118,-99,-99,-99,-99
10,0.9838,0.7699,1.2571,-99,-99,-99,-99
11,0.9971,0.802,1.2396,-99,-99,-99,-99
12,0.9537,0.7878,1.1545,-99,-99,-99,-99
13,0.908,0.7698,1.0709,-99,-99,-99,-99
14,0.9033,0.7855,1.0388,-99,-99,-99,-99
15,0.9418,0.8395,1.0567,-99,-99,-99,-99
16,0.9998,0.9129,1.095,-99,-99,-99,-99
17,1.0389,0.9711,1.1114,-99,-99,-99,-99
18,1.0406,0.9953,1.0879,-99,-99,-99,-99
19,1.0226,1.0004,1.0453,-99,-99,-99,-99
20,1,1,1,1,1,1,1
21,0.9824,1.0038,0.9615,0.9837,0.9717,1.0049,1.0031
22,0.9675,1.0096,0.9272,0.953,0.9405,0.9779,0.993
23,0.9432,1.0047,0.8854,0.9285,0.9025,0.9627,0.982
24,0.9049,0.9836,0.8325,0.9048,0.8637,0.9391,0.9636
25,0.8561,0.9492,0.7722,0.8847,0.821,0.9199,0.9512
26,0.8139,0.9201,0.72,0.8653,0.7888,0.906,0.939
27,0.7743,0.8921,0.672,0.847,0.76,0.8906,0.9268
28,0.7391,0.8676,0.6296,0.8286,0.7328,0.8746,0.9153
29,0.7164,0.8567,0.5991,0.8116,0.7016,0.86,0.9048
30,0.6951,0.8462,0.571,0.7935,0.6716,0.8463,0.8943
31,0.6733,0.8197,0.5531,0.7531,0.6501,0.8225,0.882
32,0.6528,0.7947,0.5362,0.712,0.6311,0.7989,0.8699
33,0.6336,0.7713,0.5204,0.678,0.609,0.7753,0.8594
34,0.6154,0.7492,0.5055,0.6545,0.5858,0.7579,0.8491
35,0.5983,0.7284,0.4915,0.6298,0.5624,0.7358,0.8388
36,0.5721,0.6965,0.47,0.6006,0.5335,0.7161,0.8286
37,0.5478,0.6668,0.4499,0.5785,0.5048,0.6997,0.8185
38,0.525,0.6392,0.4313,0.5517,0.4832,0.6899,0.8084
39,0.5038,0.6133,0.4138,0.5331,0.4572,0.6805,0.7983
40,0.4839,0.5891,0.3975,0.5174,0.4322,0.6696,0.7884
41,0.4556,0.5546,0.3742,0.4958,0.4103,0.658,0.7785
42,0.4295,0.5229,0.3528,0.4754,0.3905,0.6467,0.7687
43,0.4055,0.4936,0.3331,0.4586,0.374,0.6352,0.759
44,0.3833,0.4666,0.3149,0.4539,0.3557,0.6226,0.7493
45,0.3628,0.4417,0.298,0.4418,0.3385,0.6103,0.7397
46,0.3438,0.4186,0.2824,0.4323,0.3223,0.5984,0.7302
47,0.3262,0.3971,0.2679,0.425,0.3097,0.5868,0.7226
48,0.3098,0.3772,0.2545,0.4178,0.307,0.5804,0.716
49,0.2946,0.3586,0.242,0.4062,0.2986,0.576,0.7096
50,0.2804,0.3413,0.2303,0.3976,0.286,0.5678,0.7063
51,0.2671,0.3252,0.2194,0.3866,0.2729,0.5591,0.7006
52,0.2547,0.3101,0.2092,0.3789,0.2616,0.5496,0.6947
53,0.2431,0.296,0.1997,0.3746,0.2528,0.5498,0.689
54,0.2323,0.2828,0.1908,0.3649,0.2429,0.5422,0.6835
55,0.2221,0.2703,0.1824,0.3555,0.2311,0.5348,0.6782
56,0.2125,0.2587,0.1745,0.3454,0.2194,0.5224,0.6731
57,0.2035,0.2477,0.1672,0.3332,0.2098,0.5094,0.6681
58,0.195,0.2374,0.1602,0.3246,0.2,0.4967,0.6634
59,0.187,0.2277,0.1536,0.3129,0.1914,0.4843,0.6568
60,0.1795,0.2185,0.1474,0.305,0.1842,0.4744,0.6457
61,0.1702,0.2071,0.1398,0.3011,0.1825,0.4696,0.6378
62,0.1614,0.1965,0.1326,0.295,0.1722,0.4684,0.6365
63,0.1533,0.1866,0.1259,0.289,0.1649,0.4645,0.6358
64,0.1457,0.1774,0.1197,0.2832,0.1561,0.4596,0.6355
65,0.1386,0.1687,0.1138,0.2768,0.1454,0.4514,0.6352
66,0.1319,0.1606,0.1083,0.2648,0.1395,0.441,0.6318
67,0.1256,0.153,0.1032,0.2533,0.1341,0.4305,0.6226
68,0.1198,0.1458,0.0984,0.2456,0.1289,0.4243,0.6118
69,0.1142,0.1391,0.0938,0.2422,0.1245,0.4133,0.6014
70,0.1091,0.1328,0.0896,0.2327,0.12,0.4014,0.5913
71,0.1042,0.1268,0.0856,0.2284,0.1159,0.3917,0.5816
72,0.0996,0.1212,0.0818,0.2202,0.1102,0.3811,0.5699
73,0.0952,0.1159,0.0782,0.2122,0.1043,0.371,0.5562
74,0.0911,0.1109,0.0749,0.2034,0.0995,0.3607,0.5427
75,0.0873,0.1062,0.0717,0.1962,0.0941,0.3499,0.5296
76,0.0836,0.1018,0.0687,0.1913,0.0919,0.3394,0.5168
77,0.0801,0.0976,0.0658,0.1902,0.0899,0.3297,0.5043
78,0.0769,0.0936,0.0631,0.1824,0.0862,0.3222,0.4921
79,0.0738,0.0898,0.0606,0.1845,0.0838,0.315,0.4801
80,0.0708,0.0862,0.0582,0.1814,0.0809,0.3051,0.4751
81,0.068,0.0828,0.0559,0.1776,0.0789,0.2962,0.4714
82,0.0654,0.0796,0.0537,0.1726,0.0771,0.288,0.4677
83,0.0629,0.0765,0.0517,0.1677,0.0746,0.2802,0.4642
84,0.0605,0.0736,0.0497,0.1634,0.0715,0.2744,0.4609
85,0.0582,0.0709,0.0478,0.1592,0.0694,0.2688,0.4576
86,0.0561,0.0682,0.0461,0.1641,0.0661,0.27,0.4545
87,0.054,0.0657,0.0444,0.161,0.063,0.2643,0.4515
88,0.052,0.0634,0.0428,0.1594,0.0632,0.2648,0.4486
89,0.0502,0.0611,0.0412,0.1591,0.0649,0.2621,0.4457
90,0.0484,0.0589,0.0398,0.1566,0.0678,0.2575,0.4431
91,0.0464,0.0565,0.0382,0.1553,0.0668,0.2506,0.4409
92,0.0446,0.0543,0.0366,0.1512,0.0684,0.2427,0.438
93,0.0428,0.0521,0.0352,0.1472,0.0713,0.2371,0.4301
94,0.0412,0.0501,0.0338,0.1434,0.0743,0.2338,0.421
95,0.0396,0.0482,0.0325,0.1406,0.0719,0.23,0.4113
96,0.0381,0.0463,0.0313,0.1378,0.0687,0.2257,0.4016
97,0.0366,0.0446,0.0301,0.1351,0.0656,0.2215,0.3925
98,0.0353,0.0429,0.029,0.1357,0.0646,0.2171,0.3837
99,0.0339,0.0413,0.0279,0.1365,0.0637,0.2125,0.3753
100,0.0327,0.0398,0.0269,0.1355,0.0624,0.2081,0.3673
101,0.0315,0.0384,0.0259,0.1321,0.0605,0.2041,0.3596
102,0.0304,0.037,0.025,0.1287,0.0588,0.2003,0.3523
103,0.0293,0.0357,0.0241,0.1254,0.0572,0.1966,0.3453
104,0.0283,0.0344,0.0232,0.1223,0.0556,0.1943,0.3386
105,0.0273,0.0332,0.0224,0.1218,0.0542,0.1922,0.3321
106,0.0263,0.032,0.0216,0.1258,0.0528,0.1901,0.325
107,0.0254,0.0309,0.0209,0.1298,0.0514,0.1887,0.3164
108,0.0246,0.0299,0.0202,0.1292,0.0507,0.1873,0.3082
109,0.0237,0.0289,0.0195,0.1251,0.0501,0.1843,0.3003
110,0.0229,0.0279,0.0188,0.1211,0.0495,0.1821,0.2926
111,0.0222,0.027,0.0182,0.1175,0.0491,0.1805,0.2852
112,0.0214,0.0261,0.0176,0.1141,0.0486,0.1779,0.278
113,0.0208,0.0253,0.017,0.1151,0.0482,0.1755,0.271
114,0.0201,0.0244,0.0165,0.1139,0.0478,0.1739,0.2643
115,0.0194,0.0237,0.016,0.1101,0.0474,0.1723,0.2578
116,0.0188,0.0229,0.0155,0.1065,0.0474,0.1707,0.2515
117,0.0182,0.0222,0.015,0.103,0.0471,0.1693,0.246
118,0.0177,0.0215,0.0145,0.1037,0.0477,0.1678,0.2407
119,0.0171,0.0208,0.0141,0.1008,0.0482,0.1664,0.2356
120,0.0166,0.0202,0.0136,0.1029,0.0494,0.1642,0.2306
121,0.0161,0.0196,0.0132,0.1114,0.0527,0.1635,0.2258
122,0.0156,0.019,0.0128,0.1093,0.0541,0.1614,0.2212
123,0.0151,0.0184,0.0124,0.1073,0.054,0.1602,0.2167
124,0.0147,0.0179,0.0121,0.1053,0.0533,0.1602,0.2123
125,0.0143,0.0174,0.0117,0.1033,0.0526,0.1602,0.208
126,0.0138,0.0168,0.0114,0.1014,0.052,0.1592,0.2039
127,0.0134,0.0164,0.011,0.0996,0.0514,0.1583,0.1999
128,0.0131,0.0159,0.0107,0.0978,0.0508,0.1573,0.197
129,0.0127,0.0154,0.0104,0.0994,0.0503,0.1573,0.1949
130,0.0123,0.015,0.0101,0.1012,0.0499,0.1575,0.1929
131,0.012,0.0146,0.0098,0.1001,0.0498,0.1578,0.191
132,0.0116,0.0141,0.0095,0.0973,0.0505,0.1569,0.1893
133,0.0113,0.0137,0.0093,0.0947,0.05,0.1537,0.1877
134,0.0109,0.0133,0.009,0.0921,0.0495,0.1536,0.1861
135,0.0106,0.0129,0.0087,0.0897,0.0493,0.1536,0.1846
136,0.0103,0.0126,0.0085,0.0893,0.0491,0.1531,0.1831
137,0.01,0.0122,0.0082,0.0899,0.0475,0.152,0.1817
138,0.0097,0.0119,0.008,0.0965,0.0477,0.1519,0.1797
139,0.0095,0.0115,0.0078,0.0949,0.0472,0.1518,0.1771
140,0.0092,0.0112,0.0076,0.0932,0.0468,0.1523,0.1746
141,0.009,0.0109,0.0074,0.0967,0.0508,0.1547,0.1722
142,0.0087,0.0106,0.0072,0.0937,0.0486,0.1557,0.1729
143,0.0085,0.0103,0.007,0.0952,0.0466,0.1567,0.1688
144,0.0082,0.01,0.0068,0.0933,0.0456,0.1547,0.1663
145,0.008,0.0098,0.0066,0.0915,0.0446,0.1529,0.1661
146,0.0078,0.0095,0.0064,0.0908,0.0436,0.153,0.1659
147,0.0076,0.0093,0.0062,0.0902,0.0427,0.152,0.1657
148,0.0074,0.009,0.0061,0.0873,0.0414,0.1446,0.1656
149,0.0072,0.0088,0.0059,0.0856,0.0408,0.1422,0.1635
150,0.007,0.0086,0.0058,0.0839,0.0403,0.1399,0.1591
151,0.0068,0.0083,0.0056,0.0815,0.0377,0.1384,0.1826
152,0.0067,0.0081,0.0055,0.08,0.0372,0.1362,0.1818
153,0.0065,0.0079,0.0053,0.0773,0.0346,0.1348,0.1975
154,0.0063,0.0077,0.0052,0.0761,0.0341,0.1331,0.1936
155,0.0062,0.0075,0.0051,0.076,0.0384,0.1322,0.1898
156,0.006,0.0073,0.005,0.0752,0.039,0.1307,0.1861
157,0.0059,0.0072,0.0048,0.0739,0.0387,0.1285,0.1825
158,0.0057,0.007,0.0047,0.0727,0.0384,0.1264,0.179
159,0.0056,0.0068,0.0046,0.0715,0.0379,0.1243,0.1756
160,0.0055,0.0066,0.0045,0.0703,0.037,0.1222,0.1723
161,0.0053,0.0065,0.0044,0.0688,0.032,0.1201,0.169
162,0.0052,0.0063,0.0043,0.0676,0.0309,0.1183,0.1658
163,0.005,0.0061,0.0041,0.067,0.0298,0.1163,0.1627
164,0.0049,0.006,0.004,0.066,0.0288,0.1147,0.1597
165,0.0048,0.0058,0.0039,0.0652,0.0278,0.1132,0.1568
166,0.0047,0.0057,0.0038,0.0641,0.0268,0.1124,0.1539
167,0.0045,0.0055,0.0037,0.0631,0.0259,0.1117,0.1512
168,0.0044,0.0054,0.0036,0.0621,0.0252,0.1104,0.1485
169,0.0043,0.0053,0.0035,0.0611,0.0249,0.1089,0.1459
170,0.0042,0.0051,0.0035,0.0601,0.0247,0.1077,0.1433
171,0.0041,0.005,0.0034,0.0592,0.0245,0.1069,0.1408
172,0.004,0.0049,0.0033,0.0582,0.0242,0.1063,0.1383
173,0.0039,0.0048,0.0032,0.0573,0.024,0.1058,0.1359
174,0.0038,0.0046,0.0031,0.0565,0.0238,0.1052,0.1336
175,0.0037,0.0045,0.0031,0.0558,0.0236,0.1052,0.1313
176,0.0036,0.0044,0.003,0.0552,0.0234,0.1048,0.1291
177,0.0036,0.0043,0.0029,0.0547,0.0233,0.1043,0.1269
178,0.0035,0.0042,0.0028,0.0541,0.0231,0.1038,0.1248
179,0.0034,0.0041,0.0028,0.0535,0.0227,0.1043,0.1325
180,0.0033,0.004,0.0027,0.0527,0.0226,0.104,0.1301
181,0.0032,0.0039,0.0026,0.0525,0.0222,0.1028,0.1277
182,0.0032,0.0038,0.0026,0.0519,0.0218,0.1016,0.1252
183,0.0031,0.0038,0.0025,0.0531,0.0234,0.102,0.1228
184,0.003,0.0037,0.0025,0.0525,0.0232,0.1014,0.1205
185,0.0029,0.0036,0.0024,0.0518,0.0223,0.102,0.1184
186,0.0029,0.0035,0.0024,0.0511,0.0222,0.1016,0.1163
187,0.0028,0.0034,0.0023,0.0505,0.0222,0.1002,0.1142
188,0.0027,0.0033,0.0023,0.0499,0.0221,0.0988,0.1123
189,0.0027,0.0033,0.0022,0.0493,0.0221,0.0975,0.1105
190,0.0026,0.0032,0.0022,0.0487,0.022,0.0961,0.1086
191,0.0026,0.0031,0.0021,0.0481,0.0219,0.0948,0.1067
192,0.0025,0.0031,0.0021,0.0475,0.0218,0.0934,0.1048
193,0.0025,0.003,0.002,0.0469,0.0216,0.0921,0.1029
194,0.0024,0.0029,0.002,0.0463,0.0207,0.0922,0.1012
195,0.0024,0.0029,0.0019,0.0458,0.02,0.0885,0.0994
196,0.0023,0.0028,0.0019,0.0452,0.0198,0.0876,0.0978
197,0.0023,0.0027,0.0018,0.0447,0.0197,0.0866,0.0962
198,0.0022,0.0027,0.0018,0.0448,0.0196,0.0859,0.0947
199,0.0022,0.0026,0.0018,0.0444,0.0195,0.0849,0.0933
200,0.0021,0.0026,0.0017,0.0441,0.0193,0.0841,0.0918
201,0.0021,0.0025,0.0017,0.0437,0.019,0.0833,0.0903
202,0.002,0.0025,0.0017,0.051,0.0195,0.0836,0.0888
203,0.002,0.0024,0.0016,0.0506,0.0194,0.0828,0.0873
204,0.0019,0.0024,0.0016,0.0503,0.0194,0.082,0.0859
205,0.0019,0.0023,0.0016,0.0514,0.0187,0.0815,0.0845
206,0.0019,0.0023,0.0015,0.051,0.0187,0.0806,0.0832
207,0.0018,0.0022,0.0015,0.0506,0.0187,0.0797,0.082
208,0.0018,0.0022,0.0015,0.049,0.018,0.0779,0.0808
209,0.0017,0.0021,0.0014,0.0488,0.018,0.0768,0.0796
210,0.0017,0.0021,0.0014,0.0485,0.018,0.0758,0.0785
211,0.0017,0.002,0.0014,0.0482,0.0193,0.076,0.0772
212,0.0016,0.002,0.0013,0.0485,0.0244,0.0756,0.076
213,0.0016,0.0019,0.0013,0.0486,0.0282,0.0755,0.0748
214,0.0016,0.0019,0.0013,0.048,0.028,0.0743,0.0737
215,0.0015,0.0019,0.0013,0.0509,0.0206,0.0737,0.0925
216,0.0015,0.0018,0.0012,0.0503,0.0207,0.0726,0.0912
217,0.0015,0.0018,0.0012,0.0464,0.0175,0.0705,0.0715
218,0.0014,0.0018,0.0012,0.0461,0.0174,0.0695,0.0705
219,0.0014,0.0017,0.0012,0.0457,0.0174,0.0686,0.0695
220,0.0014,0.0017,0.0011,0.0454,0.0173,0.0677,0.0686
221,0.0014,0.0017,0.0011,0.045,0.0172,0.0667,0.0674
222,0.0013,0.0016,0.0011,0.0443,0.0126,0.0644,0.0657
223,0.0013,0.0016,0.0011,0.0438,0.0123,0.0637,0.0647
224,0.0013,0.0016,0.0011,0.0434,0.0122,0.063,0.0638
225,0.0013,0.0015,0.001,0.0435,0.0112,0.0624,0.0629
226,0.0012,0.0015,0.001,0.0431,0.0111,0.0617,0.062
227,0.0012,0.0015,0.001,0.0428,0.0109,0.061,0.0612
228,0.0012,0.0014,0.001,0.0417,0.01,0.0599,0.0604
229,0.0012,0.0014,0.001,0.0413,0.0099,0.0592,0.0596
230,0.0011,0.0014,0.0009,0.041,0.0097,0.0566,0.0589
231,0.0011,0.0014,0.0009,0.0415,0.0117,0.058,0.0581
232,0.0011,0.0013,0.0009,0.0412,0.0115,0.0572,0.0572
233,0.0011,0.0013,0.0009,0.0397,0.0107,0.0564,0.0565
234,0.0011,0.0013,0.0009,0.0333,0.0098,0.0505,0.0558
235,0.001,0.0013,0.0009,0.0349,0.0163,0.0549,0.0551
236,0.001,0.0012,0.0008,0.0424,0.0102,0.0545,0.0697
237,0.001,0.0012,0.0008,0.0314,0.0094,0.0486,0.0688
238,0.001,0.0012,0.0008,0.0311,0.0093,0.048,0.068
239,0.001,0.0012,0.0008,0.0307,0.0078,0.043,0.052
240,0.0009,0.0011,0.0008,0.0303,0.0077,0.0425,0.0513
241,0.0009,0.0011,0.0008,0.0198,0.0053,0.0442,0.0506
242,0.0009,0.0011,0.0007,0.0074,0.0008,0.0392,0.0498
243,0.0009,0.0011,0.0007,0.0073,0.0073,0.0073,-99
244,0.0009,0.0011,0.0007,-99,-99,-99,-99
245,0.0009,0.001,0.0007,-99,-99,-99,-99
246,0.0008,0.001,0.0007,-99,-99,-99,-99
247,0.0008,0.001,0.0007,-99,-99,-99,-99
248,0.0008,0.001,0.0007,-99,-99,-99,-99
249,0.0008,0.001,0.0007,-99,-99,-99,-99
250,0.0008,0.001,0.0006,-99,-99,-99,-99
